"place_key","layer_key","layer_name_ko","name","query","category","category_ko","trip_role_ko","visit_window","visit_order","short_desc_ko","notes_ko","priority","backup_flag"
"backup_citylife_milano","backup","07_보조코스·백업","CityLife Milano","CityLife, Milan, Italy","architecture","건축","건축클러스터","15:30-17:30","1","Day 2에 가장 자연스럽게 붙는 현대 건축 클러스터","Navigli 비중을 줄일 때 넣는 보완안으로 적합합니다.","backup","Y"
"backup_piazza_tre_torri","backup","07_보조코스·백업","Piazza Tre Torri","Piazza Tre Torri, Milan, Italy","architecture","건축","광장","15:40-16:00","2","CityLife 동선의 중심이 되는 트레 토리 광장","세 타워를 한 프레임에 읽기 좋은 출발점입니다.","backup","Y"
"backup_allianz_tower","backup","07_보조코스·백업","Allianz Tower","Allianz Tower, Milan, Italy","architecture","건축","타워","15:45-16:10","3","이소자키의 수직성이 선명한 CityLife 타워","Tre Torri 광장에서 스카이라인 비교가 쉽습니다.","backup","Y"
"backup_generali_tower","backup","07_보조코스·백업","Generali Tower","Generali Tower, Milan, Italy","architecture","건축","타워","15:50-16:15","4","비틀린 형태가 선명한 하디드 타워","Allianz Tower와 대비해 보면 도시 스카이라인 변화가 잘 읽힙니다.","backup","Y"
"backup_pwc_tower","backup","07_보조코스·백업","PwC Tower","PwC Tower, Milan, Italy","architecture","건축","타워","15:55-16:20","5","곡선 마감이 특징인 리베스킨트 타워","세 타워 비교 포인트를 완성하는 마지막 축입니다.","backup","Y"
"backup_hadid_residences","backup","07_보조코스·백업","Hadid Residences","Hadid Residences, Milan, Italy","architecture","건축","주거건축","16:10-16:35","6","발코니 흐름이 선명한 자하 하디드 레지던스","타워군과 저층 주거 스케일 차이를 비교하기 좋습니다.","backup","Y"
"backup_libeskind_residences","backup","07_보조코스·백업","Libeskind Residences","Libeskind Residences, Milan, Italy","architecture","건축","주거건축","16:20-16:45","7","조형감이 뚜렷한 리베스킨트 레지던스","Hadid 레지던스와의 대비를 관찰하기 좋습니다.","backup","Y"
"backup_citylife_park","backup","07_보조코스·백업","CityLife Park","CityLife Park, Milan, Italy","park","공원","공원산책","16:30-17:00","8","CityLife를 가볍게 식혀주는 공공공간 포인트","타워군과 공원의 스케일 전환을 보기 좋습니다.","backup","Y"
"backup_fondazione_prada","backup","07_보조코스·백업","Fondazione Prada","Fondazione Prada, Milan, Italy","museum","박물관","대체코스","15:30-18:00","9","Day 2 저녁을 통째로 바꿀 만한 현대 건축 대안","비가 오거나 건축 우선순위가 높을 때 가장 좋습니다.","backup","Y"
"backup_bar_luce","backup","07_보조코스·백업","Bar Luce","Bar Luce, Milan, Italy","food","식음","카페","16:00-16:40","10","Fondazione Prada 일정에 짧게 쉬기 좋은 카페","단지 전체를 본 뒤 휴식 포인트로 쓰기 좋습니다.","backup","Y"
"backup_nuovo_campus_bocconi","backup","07_보조코스·백업","Nuovo Campus Bocconi","Nuovo Campus Bocconi, Milan, Italy","architecture","건축","캠퍼스건축","16:30-17:30","11","SANAA의 캠퍼스형 풍경 건축을 보는 포인트","Fondazione Prada와 같은 날 묶을 때 이동 효율이 좋습니다.","backup","Y"
"backup_parco_ravizza","backup","07_보조코스·백업","Parco Ravizza","Parco Ravizza, Milan, Italy","park","공원","연결동선","16:20-16:50","12","Fondazione Prada와 Bocconi 사이를 잇는 완충 공원","남부 클러스터를 느리게 연결하는 산책 구간입니다.","backup","Y"
"backup_mudec","backup","07_보조코스·백업","MUDEC","MUDEC, Milan, Italy","museum","박물관","대체코스","16:00-17:30","13","Tortona 지구와 함께 보기 좋은 재생 문화공간","Navigli를 짧게 줄이는 날에 넣는 보완안으로 적합합니다.","backup","Y"
"backup_via_tortona","backup","07_보조코스·백업","Via Tortona","Via Tortona, Milan, Italy","district","지역","디자인거리","16:00-17:00","14","MUDEC와 함께 보는 토르토나 디자인 지구","산업 재생과 창조지구 분위기를 한 번에 읽기 좋습니다.","backup","Y"
"backup_maio_restaurant_terrace","backup","07_보조코스·백업","Maio Restaurant & Terrace","Maio Restaurant & Terrace, Milan, Italy","food","식음","생일디너 백업","19:45-22:00","15","Ceresio 7 확정 후 Duomo 뷰 백업","예약 일정에서는 제외하고, Ceresio 7에 변수가 생길 때만 대체 후보로 봅니다.","backup","Y"
