"place_key","layer_key","layer_name_ko","name","query","category","category_ko","trip_role_ko","visit_window","visit_order","short_desc_ko","notes_ko","priority","backup_flag"
"day5_1_hotel","day5-1-verona","05-1_07.25 베로나 대안","UNA HOTELS Century Milano","UNA HOTELS Century Milano, Milan, Italy","hotel","호텔","숙소 출발","08:30-09:00","1","베로나 대안 출발점","베로나를 선택하는 경우 호텔에서 Centrale로 바로 이동합니다.","must","N"
"day5_1_centrale","day5-1-verona","05-1_07.25 베로나 대안","Milano Centrale","Milano Centrale, Milan, Italy","transport","교통","Verona행 열차 출발","09:00-09:30","2","베로나행 열차 출발역","Frecciarossa 또는 Italo 계열을 우선합니다.","must","N"
"day5_1_verona_station","day5-1-verona","05-1_07.25 베로나 대안","Verona Porta Nuova","Verona Porta Nuova, Verona, Italy","transport","교통","베로나 도착역","10:30-11:00","3","베로나 도착역","구시가지까지 버스 또는 택시로 접근합니다.","must","N"
"day5_1_piazza_bra","day5-1-verona","05-1_07.25 베로나 대안","Piazza Bra","Piazza Bra, Verona, Italy","landmark","랜드마크","구시가지 진입","11:00-11:30","4","구시가지 진입 광장","Arena di Verona 외관과 함께 봅니다.","must","N"
"day5_1_arena","day5-1-verona","05-1_07.25 베로나 대안","Arena di Verona","Arena di Verona, Verona, Italy","landmark","랜드마크","주간 관람 또는 외관","11:30-12:00","5","베로나 핵심 원형극장","공연 준비 상황에 따라 내부 또는 외관만 봅니다.","must","N"
"day5_1_juliet","day5-1-verona","05-1_07.25 베로나 대안","Casa di Giulietta","Casa di Giulietta, Verona, Italy","landmark","랜드마크","온라인 예약 우선","12:00-12:40","6","줄이 길어질 수 있는 대표 명소","온라인 예약 또는 외관 위주로 운영합니다.","must","N"
"day5_1_piazza_erbe","day5-1-verona","05-1_07.25 베로나 대안","Piazza delle Erbe","Piazza delle Erbe, Verona, Italy","landmark","랜드마크","구시가지 핵심 광장","12:40-13:20","7","구시가지 핵심 광장","시장 분위기와 주변 골목을 함께 봅니다.","must","N"
"day5_1_torre","day5-1-verona","05-1_07.25 베로나 대안","Torre dei Lamberti","Torre dei Lamberti, Verona, Italy","landmark","랜드마크","전망대","13:20-14:00","8","베로나 시내 전망대","더위가 심하면 생략할 수 있습니다.","must","N"
"day5_1_bottega","day5-1-verona","05-1_07.25 베로나 대안","Antica Bottega del Vino","Antica Bottega del Vino, Verona, Italy","food","식음","점심 예약 후보","14:00-15:00","9","베로나 점심 예약 후보","와인과 전통 식사를 길게 가져갈 때 씁니다.","nice","N"
"day5_1_flego","day5-1-verona","05-1_07.25 베로나 대안","Pasticceria Flego","Pasticceria Flego, Verona, Italy","food","식음","디저트와 카페","15:00-15:30","10","디저트와 카페 후보","점심 후 짧게 쉬는 장소로 둡니다.","nice","N"
"day5_1_bugiar","day5-1-verona","05-1_07.25 베로나 대안","Osteria del Bugiardo","Osteria del Bugiardo, Verona, Italy","food","식음","아페리티보 후보","시간 여유 시","11","아페리티보 후보","늦게 머무를 때만 씁니다.","nice","N"
"day5_1_ponte_pietra","day5-1-verona","05-1_07.25 베로나 대안","Ponte Pietra","Ponte Pietra, Verona, Italy","landmark","랜드마크","강변 사진","15:30-16:00","12","강변 사진 포인트","Torre 이후 산책으로 연결합니다.","must","N"
"day5_1_giusti","day5-1-verona","05-1_07.25 베로나 대안","Giardino Giusti","Giardino Giusti, Verona, Italy","park","정원","정원과 전망 추가","시간 여유 시","13","정원과 전망 추가","시간과 체력이 남을 때만 넣습니다.","backup","Y"
"day5_1_castelvecchio","day5-1-verona","05-1_07.25 베로나 대안","Castelvecchio Museum","Museo di Castelvecchio, Verona, Italy","museum","박물관","더위·비 대체","더위·비 시","14","더위·비 대체 실내 코스","Piazza Bra 쪽으로 돌아올 때 쓰는 백업입니다.","backup","Y"
