"place_key","layer_key","layer_name_ko","name","query","category","category_ko","trip_role_ko","visit_window","visit_order","short_desc_ko","notes_ko","priority","backup_flag"
"day2_hotel","day2","02_07.22 밀라노 핵심","UNA HOTELS Century Milano","UNA HOTELS Century Milano, Milan, Italy","hotel","호텔","숙소 출발","08:00-08:20","1","밀라노 핵심일 출발점","아침과 Duomo 이동을 호텔 기준으로 단순하게 시작합니다.","must","N"
"day2_rovida","day2","02_07.22 밀라노 핵심","Pasticceria Rovida","Pasticceria Rovida, Via Domenico Scarlatti, 21, 20124 Milano MI, Italy","food","식음","아침 1순위","08:10-08:45","2","07.22 아침 1순위 파스티체리아","호텔에서 멀지 않은 곳에서 커피와 간단한 아침을 해결합니다.","must","N"
"day2_mercato","day2","02_07.22 밀라노 핵심","Mercato Centrale Milano","Mercato Centrale Milano, Milan, Italy","food","식음","아침 옵션","08:10-08:45","2-1","06:30 오픈 아침 옵션","Rovida가 애매하거나 역 쪽으로 바로 움직일 때 쓰는 옵션입니다.","option","N"
"day2_duomo","day2","02_07.22 밀라노 핵심","Duomo di Milano","Duomo di Milano, Milan, Italy","landmark","랜드마크","두오모","09:40-12:30","3","10:30 Fast-Track 테라스와 내부 관람","광장 사진, 테라스, 내부, 지하 구역을 오전에 처리합니다.","must","N"
"day2_galleria","day2","02_07.22 밀라노 핵심","Galleria Vittorio Emanuele II","Galleria Vittorio Emanuele II, Milan, Italy","landmark","랜드마크","아케이드 산책","12:45-13:15","4","두오모에서 바로 이어지는 아케이드 산책","쇼윈도와 유리 돔을 가볍게 보는 사전 답사 느낌으로 접근합니다.","must","N"
"day2_rinascente","day2","02_07.22 밀라노 핵심","Rinascente Milano Duomo","Rinascente Milano Duomo, Milan, Italy","shopping","쇼핑","쇼핑 워밍업","시간 여유 시","5","생일 쇼핑 전 감을 잡기 좋은 두오모권 백화점","시간이 남을 때만 짧게 봅니다.","nice","N"
"day2_marchesi","day2","02_07.22 밀라노 핵심","Marchesi 1824 Galleria","Marchesi 1824 Galleria, Milan, Italy","food","식음","선택 카페","12:00-13:00","6","두오모와 갤러리아 사이에서 쉬는 티룸","테라스·내부 관람 후 시간이 남으면 선택합니다.","nice","N"
"day2_porta_nuova","day2","02_07.22 밀라노 핵심","Porta Nuova","Porta Nuova, Milan, Italy","district","지역","현대 밀라노 점심 동선 시작","13:30","7","기존 Day1에서 옮긴 현대 밀라노 산책 축","점심과 Bosco Verticale 동선을 여기서 시작합니다.","must","N"
"day2_bosco_restaurant","day2","02_07.22 밀라노 핵심","Bosco Verticale Restaurant","Bosco Verticale Restaurant, Milan, Italy","food","식음","늦은 점심","13:30-14:30","8","Porta Nuova 점심 후보","현대 건축 산책 전후로 동선이 좋은 식사 후보입니다.","nice","N"
"day2_pitbeef","day2","02_07.22 밀라노 핵심","PitBeef Milano","PitBeef Milano, Via de Castillia 7, Milan, Italy","food","식음","식당 옵션","13:30-14:30","8-1","스테이크 옵션","점심 메뉴를 바꾸고 싶을 때 쓰는 옵션입니다.","option","N"
