"place_key","layer_key","layer_name_ko","name","query","category","category_ko","trip_role_ko","visit_window","visit_order","short_desc_ko","notes_ko","priority","backup_flag"
"day3_hotel","day3","03_07.23 생일·쇼핑","UNA HOTELS Century Milano","UNA HOTELS Century Milano, Milan, Italy","hotel","호텔","느긋한 출발","10:30-11:00","1","생일 쇼핑일 출발점","조식 없이 컨디션을 보고 천천히 출발합니다.","must","N"
"day3_duomo","day3","03_07.23 생일·쇼핑","Duomo di Milano","Duomo di Milano, Milan, Italy","landmark","랜드마크","생일 사진 시작","11:00-11:30","2","생일 사진 시작점","두오모 광장과 외관 위주로 짧게 봅니다.","must","N"
"day3_rinascente","day3","03_07.23 생일·쇼핑","Rinascente Milano Duomo","Rinascente Milano Duomo, Milan, Italy","shopping","쇼핑","1차 쇼핑","11:30-13:00","3","생일 쇼핑 1차 기준점","뷰티·잡화와 택스프리 흐름을 확인합니다.","must","N"
"day3_galleria","day3","03_07.23 생일·쇼핑","Galleria Vittorio Emanuele II","Galleria Vittorio Emanuele II, Milan, Italy","landmark","랜드마크","점심과 디저트","13:00-14:00","4","갤러리아 주변 점심·디저트","동선 중간 휴식으로 씁니다.","must","N"
"day3_montenapoleone","day3","03_07.23 생일·쇼핑","Via Montenapoleone","Via Montenapoleone, Milan, Italy","shopping","쇼핑","명품·주얼리 축","14:30-16:30","5","주얼리와 명품 밀도가 가장 높은 생일 쇼핑 핵심 축","브랜드 확신이 있으면 이 구간에서 구매를 확정합니다.","must","N"
"day3_quadrilatero","day3","03_07.23 생일·쇼핑","Via della Spiga","Via della Spiga, Milan, Italy","shopping","쇼핑","패션 지구 쇼핑","15:00-17:00","6","패션 지구 안쪽 쇼핑 거리","Via Montenapoleone 다음에 이어 걷습니다.","must","N"
"day3_brera","day3","03_07.23 생일·쇼핑","Brera","Brera, Milan, Italy","district","지역","감성 선물 마무리","17:00-19:00","7","작은 선물과 골목 산책 마무리","Ceresio 7 이동 전 쇼핑백을 줄이는 흐름으로 봅니다.","must","N"
"day3_ceresio","day3","03_07.23 생일·쇼핑","Ceresio 7","Ceresio 7, Milan, Italy","food","식음","생일디너 확정","19:45-21:45","8","2026-07-23 19:45 예약완료 생일 디너","허니문 특별 저녁으로 가능한 최고의 스카이라인 뷰가 있는 테라스 테이블을 요청했습니다.","must","N"
"day3_porta_nuova","day3","03_07.23 생일·쇼핑","Porta Nuova skyline loop","Piazza Gae Aulenti, Milan, Italy","architecture","건축","야경 백업","시간 여유 시","10","시간이 남을 때 야경 루프","생일 디너 전후 여유가 있을 때만 씁니다.","backup","Y"
"day3_citylife","day3","03_07.23 생일·쇼핑","CityLife Milano","CityLife, Milan, Italy","architecture","건축","쇼핑 대체 건축 코스","쇼핑 축소 시","11","쇼핑 대체 건축 코스","쇼핑 피로가 크거나 건축 우선순위가 올라갈 때만 씁니다.","backup","Y"
