"place_key","layer_key","layer_name_ko","name","query","category","category_ko","trip_role_ko","visit_window","visit_order","short_desc_ko","notes_ko","priority","backup_flag"
"day5_hotel","day5","05_07.25 베르가모 확정","UNA HOTELS Century Milano","UNA HOTELS Century Milano, Milan, Italy","hotel","호텔","숙소 출발","08:40-09:00","1","베르가모 당일치기 출발점","호텔에서 Milano Centrale까지 도보 이동해 9시대 Bergamo행 열차를 탑니다.","must","N"
"day5_centrale","day5","05_07.25 베르가모 확정","Milano Centrale","Milano Centrale, Milan, Italy","transport","교통","Bergamo행 열차 출발","09:00","2","베르가모 당일치기 열차 출발역","Trenord 2등석 편도 기준으로 Bergamo까지 약 48분을 봅니다.","must","N"
"day5_bergamo_station","day5","05_07.25 베르가모 확정","Bergamo Station","Bergamo Station, Bergamo, Italy","transport","교통","Bergamo 도착역","09:50-10:15","3","상부도시 접근 전 환승 지점","역 앞에서 ATB Bus 1로 푸니쿨라 하부역까지 이동합니다.","must","N"
"day5_funicular_lower","day5","05_07.25 베르가모 확정","Funicolare Città Alta lower station","Funicolare Città Alta lower station, Viale Vittorio Emanuele II, Bergamo, Italy","transport","교통","푸니쿨라 환승","10:15-10:35","4","Città Alta로 오르는 핵심 환승점","버스 1번에서 내려 Funicolare Città Alta로 상부도시 입구까지 올라갑니다.","must","N"
"day5_citta_alta","day5","05_07.25 베르가모 확정","Bergamo Città Alta","Bergamo Città Alta, Bergamo, Italy","daytrip","당일치기","상부도시 진입","10:45","5","베르가모 핵심 구시가지 축","상부역에서 성벽, 광장, 성당군 순서로 걷는 확정 동선입니다.","must","N"
"day5_mura","day5","05_07.25 베르가모 확정","Mura Veneziane","Mura Veneziane, Bergamo, Italy","landmark","랜드마크","성벽 산책","11:00-11:30","6","Porta San Giacomo와 함께 보는 베네치아 성벽","상부도시의 요새 도시 느낌을 가장 먼저 잡는 사진 포인트입니다.","must","N"
"day5_piazza_vecchia","day5","05_07.25 베르가모 확정","Piazza Vecchia","Piazza Vecchia, Bergamo, Italy","landmark","랜드마크","핵심 광장","11:30-12:00","7","Città Alta 분위기를 가장 선명하게 느끼는 중심 광장","아케이드와 성당군 접근 축을 함께 읽기 좋습니다.","must","N"
"day5_basilica","day5","05_07.25 베르가모 확정","Basilica di Santa Maria Maggiore","Basilica di Santa Maria Maggiore, Bergamo, Italy","landmark","랜드마크","대성당","12:00-12:30","8","석재 입면과 내부 밀도가 강한 베르가모 핵심 성당","Cappella Colleoni와 같은 광장 축에서 함께 봅니다.","must","N"
"day5_cappella","day5","05_07.25 베르가모 확정","Cappella Colleoni","Cappella Colleoni, Bergamo, Italy","landmark","랜드마크","예배당","12:10-12:40","9","정면 장식과 표면 디테일이 인상적인 베르가모 명소","분홍·흰 대리석 정면을 Piazza Vecchia 축에서 정면으로 봅니다.","must","N"
"day5_caffe_tasso","day5","05_07.25 베르가모 확정","Caffè del Tasso","Caffè del Tasso, Bergamo, Italy","food","식음","카페 옵션","12:30-13:00","10","Piazza Vecchia 한가운데에서 쉬기 좋은 역사 카페","Il Circolino 점심 전후로 짧게 쉬는 선택지입니다.","nice","N"
"day5_circolino","day5","05_07.25 베르가모 확정","Il Circolino Città Alta","Il Circolino Città Alta, Bergamo, Italy","food","식음","점심식사 1순위","13:00-14:00","11","7월 25일 베르가모 점심 확정 기본 식당","수도원 공간 분위기와 베르가모 전통 요리가 Città Alta 동선과 가장 잘 맞습니다.","must","N"
"day5_da_mimmo","day5","05_07.25 베르가모 확정","Da Mimmo","Da Mimmo, Bergamo, Italy","food","식음","점심 옵션","13:00-14:00","11-1","Il Circolino 예약이 어렵거나 메뉴를 바꿀 때 쓰는 대체 식당","확정 점심 흐름에서는 제외하고 옵션으로만 둡니다.","option","N"
"day5_balzer","day5","05_07.25 베르가모 확정","Balzer - Caffetteria Pasticceria Ristorante","Balzer, Via Portici Sentierone 41, Bergamo, Italy","food","식음","디저트·복귀 전 카페","16:20-17:10","12","Polenta e Osei 디저트와 복귀 전 휴식","상부도시를 내려온 뒤 하부도시 Sentierone에서 쉬고 Bergamo역으로 이동합니다.","nice","N"
"day5_san_vigilio","day5","05_07.25 베르가모 확정","San Vigilio","San Vigilio, Bergamo, Italy","landmark","랜드마크","전망 추가 코스","14:30-16:00","13","컨디션이 좋을 때만 추가하는 언덕 위 전망 포인트","생략해도 일정 완성도는 충분하지만 풍경은 가장 좋습니다.","backup","Y"
"day5_astino_monastery","day5","05_07.25 베르가모 확정","Monastero di Astino","Monastero di Astino, Bergamo, Italy","landmark","랜드마크","사진 스팟","시간 여유 시","14","아스티노 수도원 사진 후보","본동선을 해치지 않는 선에서만 보는 여유 컷입니다.","nice","N"
"day5_maio","day5","05_07.25 베르가모 확정","Maio Restaurant & Terrace","Maio Restaurant & Terrace, Piazza del Duomo, Rinascente 7 piano, Milano, Italy","food","식음","복귀 후 저녁식사","19:30-21:30","15","베르가모 복귀 후 Duomo 뷰 저녁식사","Milano Centrale 복귀 후 M3 Duomo로 이동해 마지막 밀라노 저녁 분위기를 만듭니다.","must","N"
