"place_key","layer_key","layer_name_ko","name","query","category","category_ko","trip_role_ko","visit_window","visit_order","short_desc_ko","notes_ko","priority","backup_flag"
"day4_hotel","day4","04_07.24 꼬모","UNA HOTELS Century Milano","UNA HOTELS Century Milano, Milan, Italy","hotel","호텔","숙소 출발","08:20-08:40","1","꼬모 당일치기 출발점","호텔에서 Milano Centrale까지 도보 이동해 Varenna행 열차를 탑니다.","must","N"
"day4_centrale","day4","04_07.24 꼬모","Milano Centrale","Milano Centrale, Milan, Italy","transport","교통","Varenna행 열차 출발","08:40-09:20","2","꼬모 호수 당일치기 철도 출발역","Varenna-Esino까지 약 64-65분을 보고 이동합니다.","must","N"
"day4_varenna_caffe","day4","04_07.24 꼬모","Varenna Caffe Bistrot","Varenna Caffe Bistrot, Varenna, Italy","food","식음","도착 직후 식사·카페","10:45-11:30","3","도착 직후 먼저 쉬기 좋은 호숫가 카페","선착장과 골목 산책 사이에 쉬기 좋아 당일치기 일정과 잘 맞습니다.","nice","N"
"day4_varenna","day4","04_07.24 꼬모","Varenna","Varenna, Italy","daytrip","당일치기","호수 당일치기 시작","11:00-12:30","4","꼬모 호수 당일치기의 가장 예쁜 출발 마을","식사 후 호숫가와 골목 산책을 시작합니다.","must","N"
"day4_villa_monastero","day4","04_07.24 꼬모","Villa Monastero","Villa Monastero, Varenna, Italy","daytrip","당일치기","정원 산책","11:30-12:30","5","페리 변수와 무관하게 만족도가 높은 바렌나 정원","정원만 봐도 일정 만족도가 높아 Varenna 초반에 먼저 둡니다.","must","N"
"day4_lovers_walk","day4","04_07.24 꼬모","Passeggiata degli Innamorati","Passeggiata degli Innamorati, Varenna, Italy","daytrip","당일치기","연인의 산책로","12:30-13:00","6","물가와 난간 프레임이 안정적인 사진 포인트","Villa Monastero 이후 Riva Grande 쪽으로 복귀하며 걷습니다.","must","N"
"day4_riva_grande","day4","04_07.24 꼬모","Riva Grande","Riva Grande, Varenna, Italy","daytrip","당일치기","바렌나 수변","12:45-13:20","7","바렌나 호숫가의 색감과 골목이 만나는 구간","페리 이동 전 수변 분위기를 짧게 정리합니다.","must","N"
"day4_bellagio","day4","04_07.24 꼬모","Bellagio","Bellagio, Italy","daytrip","당일치기","Bellagio 중심","13:20-16:30","8","점심과 상점 구경을 함께 하기 좋은 벨라지오 중심 마을","세 번째 마을을 넣지 않고 여기서 템포를 늦추는 편이 좋습니다.","must","N"
"day4_nene_food","day4","04_07.24 꼬모","Nene Food - Bellagio","Nene Food, Via Jacopo Rezia 20, Bellagio, Italy","food","식음","카페 옵션","13:20-14:00","8-1","San Giovanni 쪽으로 빠질 때 쓰는 Bellagio 카페 옵션","중심부가 붐비거나 카페를 바꾸고 싶을 때만 씁니다.","option","N"
"day4_bar_sanremo","day4","04_07.24 꼬모","Bar Sanremo","Bar Sanremo, Via Lungo Lario Manzoni 40, Bellagio, Italy","food","식음","카페 옵션","13:20-14:00","8-2","선착장 근처에서 쓰기 쉬운 Bellagio 카페 옵션","페리 시간에 맞춰 가볍게 쉬기 좋은 후보입니다.","option","N"
"day4_bellagio_restaurant","day4","04_07.24 꼬모","Bellagio Restaurant & Bar","Bellagio Restaurant & Bar, Bellagio, Italy","food","식음","가벼운 테라스 식사","13:30-14:30","9","동선을 벗어나지 않고 호수 전망을 즐기기 좋은 테라스 식사","예약 없이도 유연하게 쓰기 좋은 선택지입니다.","nice","N"
"day4_la_pergola","day4","04_07.24 꼬모","La Pergola Bellagio","La Pergola Bellagio, Bellagio, Italy","food","식음","레이크뷰 점심 후보","13:30-15:00","10","허니문다운 점심 시간을 만들기 좋은 레이크뷰 레스토랑","조금 더 앉아 있는 식사를 원할 때 가장 적합합니다.","nice","N"
"day4_punta_spartivento","day4","04_07.24 꼬모","Punta Spartivento","Punta Spartivento, Bellagio, Italy","daytrip","당일치기","전망 백업","15:00-15:45","11","세 갈래 호수와 산 능선을 한 번에 보는 전망 끝점","시간이 남을 때 넣는 추가 코스로 적합합니다.","backup","Y"
